Death,G,SL,L
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,2,0
7,0,10,0
8,0,19,0
9,0,19,0
10,0,19,0
11,0,19,0
12,0,19,0
13,0,19,0
14,0,19,0
15,0,19,0
16,0,19,0
17,0,19,0
18,0,19,0
19,0,19,0
20,0,19,0
21,0,19,0
22,0,19,0
23,0,19,0
24,0,19,0
25,0,19,6
26,0,19,6
27,0,19,6
28,0,19,6
29,0,19,6
30,2,19,6
31,2,19,6
32,2,19,6
33,2,19,6
34,2,19,6
35,2,19,14
36,2,19,14
37,2,19,14
38,2,19,14
39,2,19,14
40,2,19,14
41,2,19,14
42,2,19,14
43,2,19,14
44,2,19,14
45,2,19,14
46,2,19,14
47,2,21,14
48,2,21,14
49,2,21,14
50,2,34,14
51,2,34,14
52,2,34,14
53,2,34,14
54,2,34,14
55,2,34,14
56,2,34,14
57,2,34,14
58,2,34,14
59,2,34,14
60,3,34,14
61,4,34,14
62,4,34,14
63,5,34,14
64,5,34,14
65,5,34,14
66,5,34,16
67,6,34,16
68,6,34,16
69,6,34,16
70,6,34,16
71,9,34,16
72,9,34,16
73,9,34,16
74,9,34,16
75,9,34,16
76,9,34,20
77,9,34,20
78,9,34,20
79,9,34,20
80,9,34,20
81,10,34,20
82,10,34,20
83,10,34,20
84,13,34,20
85,13,34,22
86,13,34,22
87,16,34,22
88,16,34,22
89,16,34,26
90,16,34,26
91,16,34,26
92,16,34,26
93,16,34,26
94,16,34,26
95,16,34,26
96,18,34,26
97,18,34,26
98,18,34,26
99,18,34,26
100,18,36,26
101,18,36,26
102,20,40,26
103,20,40,26
104,20,40,26
105,20,40,26
106,20,40,28
107,23,40,31
108,23,40,31
109,25,40,31
110,25,40,31
111,25,40,31
112,25,40,31
113,25,40,31
114,25,40,31
115,25,40,31
116,25,40,31
117,25,40,34
118,25,40,34
119,25,40,34
120,25,40,34
121,25,40,34
122,25,40,34
123,26,40,34
124,26,40,34
125,26,40,34
126,26,40,34
127,26,40,34
128,26,42,37
129,26,42,37
130,29,42,41
131,29,42,41
132,29,42,41
133,29,42,41
